question_id,min_correct_rate,peak_strength,attention_mean,attention_std,attention_var,top5_concentration,top10_concentration,top20_concentration,top50_concentration,coverage_50_ratio,coverage_70_ratio,coverage_80_ratio,coverage_90_ratio,coverage_95_ratio,normalized_entropy,gini,layer_consistency,doc_len,log_doc_len,active_layers
Q2_Sub1,0.0,0.006634822115302086,0.00011028793232981116,0.00042410369496792555,1.79863931748514e-07,0.18400618433952332,0.28482159972190857,0.40841469168663025,0.6276915669441223,0.024896265560165973,0.056431535269709544,0.0937759336099585,0.1900414937759336,0.31784232365145226,0.7308142514188766,0.859605668202897,0.4361719841171896,1205,7.095064377287131,"[23, 27, 18, 24]"
Q3_Sub1,0.0,0.009275175631046295,8.88599970494397e-05,0.0004227323515806347,1.787026349120424e-07,0.19791576266288757,0.306632936000824,0.46696820855140686,0.711329460144043,0.01670297748729121,0.034858387799564274,0.05591866376180102,0.11692084241103849,0.22730573710965868,0.6792749686355943,0.8998019429691895,0.5318627450980392,1377,7.228388451573604,"[23, 27, 24, 19]"
Q4_Sub1,0.0,0.0033012996427714825,9.858789417194203e-05,0.00028419322916306555,8.076578694726777e-08,0.1243104487657547,0.216554194688797,0.34363314509391785,0.5506803393363953,0.03919694072657744,0.08795411089866156,0.15105162523900573,0.2801147227533461,0.4378585086042065,0.7862178857723654,0.8013446809737068,0.418680625162416,1046,6.953684210870537,"[24, 23, 27, 18]"
Q4_Sub2,0.0,0.006521057337522507,9.418959962204099e-05,0.0003190432908013463,1.0178862908105657e-07,0.14858591556549072,0.22538547217845917,0.32309651374816895,0.5257089734077454,0.03647898493259318,0.0753370340999207,0.12212529738302934,0.2386994448850119,0.3893735130848533,0.769593081355155,0.8249524656755738,0.4511052554530815,1261,7.140453043101158,"[23, 24, 19, 18]"
Q5_Sub1,0.4,0.005859740078449249,0.0001246322353836149,0.0004071073199156672,1.657363668527978e-07,0.15786540508270264,0.25068923830986023,0.3815614581108093,0.5796911716461182,0.03234750462107209,0.08317929759704251,0.1423290203327172,0.2698706099815157,0.4020332717190388,0.7698552607333632,0.8167020075098741,0.4953674064589557,1082,6.9874902470009905,"[24, 23, 21, 19]"
Q7_Sub1,0.0,0.010616132989525795,0.00010286497126799077,0.00048491056077182293,2.3513824487508828e-07,0.23315931856632233,0.3113047480583191,0.43019071221351624,0.6084261536598206,0.02218821729150727,0.05967865340474369,0.09946442234123948,0.18515684774292274,0.3006885998469778,0.7193945628158689,0.8635235525120319,0.5378596364511857,1307,7.176254532017144,"[24, 23, 26, 27]"
Q8_Sub2,0.05,0.007948053069412708,9.734369086800143e-05,0.0004012994177173823,1.6104121414173278e-07,0.19425617158412933,0.2778559923171997,0.3876355290412903,0.5650133490562439,0.02681159420289855,0.06521739130434782,0.10144927536231885,0.18405797101449275,0.3130434782608696,0.7373449912076745,0.8556257791222801,0.40026800084478525,1380,7.2305631534092925,"[23, 24, 27, 25]"
Q10_Sub1,0.0,0.0027664881199598312,5.866079300176352e-05,0.0001989111624425277,3.956565208795837e-08,0.11599750071763992,0.19129954278469086,0.29373791813850403,0.47553321719169617,0.031232571109871723,0.07250418293363078,0.12046848856664807,0.23591745677635248,0.3747908533184607,0.7736808420187798,0.8323609213452294,0.3296005763724558,1793,7.492203042618741,"[23, 24, 21, 25]"
Q10_Sub2,0.0,0.007957395166158676,8.541894931113347e-05,0.00034941325429826975,1.2208961663873197e-07,0.12936779856681824,0.19609811902046204,0.287469744682312,0.4445306360721588,0.026459143968871595,0.06926070038910506,0.11167315175097277,0.2019455252918288,0.3147859922178988,0.7623834702484696,0.8525348384265554,0.42415336445187185,2570,7.852050207265889,"[23, 24, 27, 21]"
Q11_Sub1,0.0,0.007684431038796902,7.605261635035276e-05,0.0003486628702376038,1.2156580453392962e-07,0.21036256849765778,0.29813241958618164,0.4218803644180298,0.6270630955696106,0.021986353297952996,0.05534495830174375,0.09628506444275967,0.21152388172858225,0.36770280515542075,0.7247344531854009,0.8517351278265293,0.46520146520146516,1319,7.1853870155804165,"[23, 18, 24, 19]"
Q11_Sub2,0.0,0.005785602144896984,8.733446156838909e-05,0.0003311499021947384,1.0966025598690976e-07,0.15302816033363342,0.2410380244255066,0.35907232761383057,0.544461727142334,0.026710097719869708,0.06775244299674267,0.12312703583061889,0.25276872964169383,0.41498371335504886,0.7598308340578896,0.8280382863438773,0.4532798643714136,1535,7.336936913707618,"[23, 24, 18, 21]"
Q12_Sub2,0.0,0.008896180428564548,0.00013226823648437858,0.0005295618320815265,2.8043572797287197e-07,0.1735014021396637,0.2848486006259918,0.4548913240432739,0.6795963048934937,0.02134927412467976,0.04696840307429547,0.07344150298889837,0.13919726729291204,0.2425277540563621,0.704418736787738,0.8869990148037328,0.48148148148148145,1171,7.066466970136958,"[23, 19, 27, 24]"
Q13_Sub2,0.3,0.007560391910374165,9.140837209997699e-05,0.00034875175333581865,1.2162777807134262e-07,0.1482614129781723,0.21221104264259338,0.29940950870513916,0.4649296998977661,0.031003678402522335,0.07409353652128219,0.12138728323699421,0.22228060956384657,0.34366789280084076,0.7675709935517704,0.8386163351412239,0.3029471300900155,1903,7.55171221535131,"[21, 23, 24, 27]"
Q14_Sub1,0.0,0.00389229622669518,6.962521001696587e-05,0.0002714071306400001,7.366182330770243e-08,0.20852653682231903,0.31725528836250305,0.4541088938713074,0.6532294750213623,0.023674242424242424,0.06060606060606061,0.11268939393939394,0.24242424242424243,0.39867424242424243,0.736306848233636,0.8367842219005968,0.5727812550152463,1056,6.963189985870238,"[21, 23, 24, 18]"
Q14_Sub2,0.25,0.0049432977102696896,7.586086576338857e-05,0.00023506033176090568,5.5253359221296705e-08,0.11142893880605698,0.16750022768974304,0.2388535737991333,0.38088828325271606,0.04547803617571059,0.10077519379844961,0.15090439276485787,0.2496124031007752,0.3581395348837209,0.8007461075023108,0.8121502341031392,0.2045276644831706,1935,7.568379267836522,"[23, 24, 27, 20]"
Q16_Sub1,0.0,0.01400113757699728,0.00015878079284448177,0.0006960373721085489,4.844680461246753e-07,0.3169739246368408,0.4138830304145813,0.517960786819458,0.6990078687667847,0.03225806451612903,0.0865874363327674,0.14770797962648557,0.27504244482173174,0.4142614601018676,0.7268777897724081,0.8148216807204112,0.6353187042842215,589,6.380122536899765,"[24, 23, 18, 19]"
Q16_Sub2,0.8,0.006312768440693617,0.00011032050679204985,0.0003634963068179786,1.3212955707331275e-07,0.16535736620426178,0.24610407650470734,0.3626985549926758,0.5735812187194824,0.035204567078972404,0.08087535680304472,0.13606089438629876,0.2559467174119886,0.4043767840152236,0.7699791147457027,0.8167134277610133,0.47920706744236147,1051,6.9584483932976555,"[23, 18, 24, 19]"
Q18_Sub2,0.0,0.009225308895111084,7.460523920599371e-05,0.00034426915226504207,1.1852125680889003e-07,0.16547875106334686,0.2592933475971222,0.37776386737823486,0.5722196102142334,0.019758507135016465,0.04884742041712404,0.08068057080131723,0.1619099890230516,0.2897914379802415,0.7209698823137931,0.8760956909505737,0.4230075591880588,1822,7.508238774678663,"[23, 27, 25, 24]"
Q20_Sub1,0.0,0.006949081551283598,0.0001048465637722984,0.00040557223837822676,1.6448883854991436e-07,0.20451857149600983,0.30736052989959717,0.45418620109558105,0.7018696665763855,0.025853154084798345,0.05170630816959669,0.0796277145811789,0.13857290589451912,0.23474663908996898,0.7060727775848064,0.8824522031287432,0.4114404503305071,967,6.875232087276577,"[27, 24, 28, 23]"
Q20_Sub2,0.0,0.00916452519595623,0.00010460693010827526,0.00037734751822426915,1.4239114420888654e-07,0.15550555288791656,0.2168411910533905,0.3118273913860321,0.48588594794273376,0.037267080745341616,0.0862663906142167,0.13595583160800553,0.24292615596963424,0.36853002070393376,0.7749549792838476,0.8239525776400776,0.3386427179530627,1449,7.27931883541462,"[24, 23, 18, 27]"
Q21_Sub1,0.0,0.005371207371354103,8.218895527534187e-05,0.0002617272548377514,6.850115852330418e-08,0.14945784211158752,0.2144249975681305,0.30947375297546387,0.48678261041641235,0.04275534441805225,0.10530482977038796,0.1726049089469517,0.3056215360253365,0.45288994457640536,0.7970790341184704,0.7871786144275874,0.37186756905066765,1263,7.142036574706803,"[25, 27, 24, 18]"
